"OSD030bb.Code.or.Value","OSD030bb.Value.Description","OSD030bb.Count","OSD030bb.Cumulative","OSD030bb.Skip.to.Item"
"6 to 74","Range of Values",49,49,NA
"80","80 or older",0,49,NA
"77777","Refused",0,49,NA
"99999","Don't know",0,49,NA
".","Missing",3766,3815,NA
