"MCQ240f.Code.or.Value","MCQ240f.Value.Description","MCQ240f.Count","MCQ240f.Cumulative","MCQ240f.Skip.to.Item"
"16 to 61","Range of Values",33,33,NA
"80","80 years or older",0,33,NA
"77777","Refused",0,33,NA
"99999","Don't know",0,33,NA
".","Missing",9331,9364,NA
