"DR1TTFAT.Code.or.Value","DR1TTFAT.Value.Description","DR1TTFAT.Count","DR1TTFAT.Cumulative","DR1TTFAT.Skip.to.Item"
"0 to 422.59","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
