"URDP01LC.Code.or.Value","URDP01LC.Value.Description","URDP01LC.Count","URDP01LC.Cumulative","URDP01LC.Skip.to.Item"
"0","At or above the detection limit",2259,2259,NA
"1","Below lower detection limit",0,2259,NA
".","Missing",90,2349,NA
