"BPQ150C.Code.or.Value","BPQ150C.Value.Description","BPQ150C.Count","BPQ150C.Cumulative","BPQ150C.Skip.to.Item"
"1","Yes",49,49,NA
"2","No",7321,7370,NA
".","Missing",2392,9762,NA
