"WHQ060.Code.or.Value","WHQ060.Value.Description","WHQ060.Count","WHQ060.Cumulative","WHQ060.Skip.to.Item"
"1","Yes",724,724,"WHD080A"
"2","No",501,1225,""
"7","Refused",0,1225,""
"9","Don't know",2,1227,""
".","Missing",5319,6546,""
