"OHAROCOH.Code.or.Value","OHAROCOH.Value.Description","OHAROCOH.Count","OHAROCOH.Cumulative","OHAROCOH.Skip.to.Item"
"1","Yes",420,420,NA
"2","No",3,423,NA
".","Missing",8742,9165,NA
