"DS2TKCAL.Code.or.Value","DS2TKCAL.Value.Description","DS2TKCAL.Count","DS2TKCAL.Cumulative","DS2TKCAL.Skip.to.Item"
"1.7 to 250","Range of Values",1134,1134,NA
".","Missing",9119,10253,NA
