"LBCF09.Code.or.Value","LBCF09.Value.Description","LBCF09.Count","LBCF09.Cumulative","LBCF09.Skip.to.Item"
"0.486 to 3.68","Range of Values",246,246,NA
".","Missing",1,247,NA
