"WTSAU36.Code.or.Value","WTSAU36.Value.Description","WTSAU36.Count","WTSAU36.Cumulative","WTSAU36.Skip.to.Item"
"0 to 475214.00386","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
