"CIQP52.Code.or.Value","CIQP52.Value.Description","CIQP52.Count","CIQP52.Cumulative","CIQP52.Skip.to.Item"
"0 to 24","Range of Values",10,10,NA
"77","Refused",0,10,NA
"99","Don't know",4,14,NA
".","Missing",764,778,NA
