"URDTLCLC.Code.or.Value","URDTLCLC.Value.Description","URDTLCLC.Count","URDTLCLC.Cumulative","URDTLCLC.Skip.to.Item"
"0","At or above the detection limit",1046,1046,NA
"1","Below lower detection limit",1640,2686,NA
".","Missing",91,2777,NA
