"RFXC071.Code.or.Value","RFXC071.Value.Description","RFXC071.Count","RFXC071.Cumulative","RFXC071.Skip.to.Item"
"-7.547 to 4.674","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
