"DSXENXLD.Code.or.Value","DSXENXLD.Value.Description","DSXENXLD.Count","DSXENXLD.Cumulative","DSXENXLD.Skip.to.Item"
"0.024 to 0.024","Range of Values",5,5,NA
".","Missing",9435,9440,NA
