"HOD050.Code.or.Value","HOD050.Value.Description","HOD050.Count","HOD050.Cumulative","HOD050.Skip.to.Item"
"1 to 12","Range of Values",9944,9944,NA
"13","13 or more",27,9971,NA
"777","Refused",10,9981,NA
"999","Don't know",8,9989,NA
".","Missing",133,10122,NA
