"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 123.918","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
