"URDUTMLC.Code.or.Value","URDUTMLC.Value.Description","URDUTMLC.Count","URDUTMLC.Cumulative","URDUTMLC.Skip.to.Item"
"0","At or above the detection limit",15,15,NA
"1","Below lower detection limit",2561,2576,NA
".","Missing",144,2720,NA
