"LBCMIRLA.Code.or.Value","LBCMIRLA.Value.Description","LBCMIRLA.Count","LBCMIRLA.Cumulative","LBCMIRLA.Skip.to.Item"
"0.4313 to 118.2","Range of Values",284,284,NA
".","Missing",0,284,NA
