"DS1TCHOL.Code.or.Value","DS1TCHOL.Value.Description","DS1TCHOL.Count","DS1TCHOL.Cumulative","DS1TCHOL.Skip.to.Item"
"1.3 to 80","Range of Values",188,188,NA
".","Missing",9574,9762,NA
