"TYXP223.Code.or.Value","TYXP223.Value.Description","TYXP223.Count","TYXP223.Cumulative","TYXP223.Skip.to.Item"
"-296 to -24","Range of Values",303,303,NA
".","Missing",8166,8469,NA
