"VIXKLM1.Code.or.Value","VIXKLM1.Value.Description","VIXKLM1.Count","VIXKLM1.Cumulative","VIXKLM1.Skip.to.Item"
"6.41 to 9.7","Range of Values",6962,6962,NA
"88","Could not obtain",49,7011,NA
".","Missing",434,7445,NA
