"URXCB3.Code.or.Value","URXCB3.Value.Description","URXCB3.Count","URXCB3.Cumulative","URXCB3.Skip.to.Item"
"0.07 to 24.57","Range of Values",1698,1698,NA
".","Missing",427,2125,NA
