"URXOP4.Code.or.Value","URXOP4.Value.Description","URXOP4.Count","URXOP4.Cumulative","URXOP4.Skip.to.Item"
"0.14 to 83.15","Range of Values",2422,2422,NA
".","Missing",190,2612,NA
