"DR1TM201.Code.or.Value","DR1TM201.Value.Description","DR1TM201.Count","DR1TM201.Cumulative","DR1TM201.Skip.to.Item"
"0 to 2.892","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
