"DR2IALCO.Code.or.Value","DR2IALCO.Value.Description","DR2IALCO.Count","DR2IALCO.Cumulative","DR2IALCO.Skip.to.Item"
"0 to 224.6","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
