"WBXF040.Code.or.Value","WBXF040.Value.Description","WBXF040.Count","WBXF040.Cumulative","WBXF040.Skip.to.Item"
"1155.3527 to 1155.3527","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
