"DR1IP183.Code.or.Value","DR1IP183.Value.Description","DR1IP183.Count","DR1IP183.Cumulative","DR1IP183.Skip.to.Item"
"0 to 14.516","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
