"DSQTPFAT.Code.or.Value","DSQTPFAT.Value.Description","DSQTPFAT.Count","DSQTPFAT.Cumulative","DSQTPFAT.Skip.to.Item"
"0.002 to 18","Range of Values",352,352,NA
".","Missing",9823,10175,NA
