"SXD450.Code.or.Value","SXD450.Value.Description","SXD450.Count","SXD450.Cumulative","SXD450.Skip.to.Item"
"0 to 50","Range of Values",1624,1624,NA
"77777","Refused",3,1627,NA
"99999","Don't know",0,1627,NA
".","Missing",3169,4796,NA
