"DR1TPOTA.Code.or.Value","DR1TPOTA.Value.Description","DR1TPOTA.Count","DR1TPOTA.Cumulative","DR1TPOTA.Skip.to.Item"
"0 to 19175","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
