"LBDHDD.Code.or.Value","LBDHDD.Value.Description","LBDHDD.Count","LBDHDD.Cumulative","LBDHDD.Skip.to.Item"
"6 to 226","Range of Values",7256,7256,NA
".","Missing",765,8021,NA
