"LBXLACL.Code.or.Value","LBXLACL.Value.Description","LBXLACL.Count","LBXLACL.Cumulative","LBXLACL.Skip.to.Item"
"0 to 5","Range of Values",4724,4724,NA
".","Missing",428,5152,NA
