"PSQ200A.Code.or.Value","PSQ200A.Value.Description","PSQ200A.Count","PSQ200A.Cumulative","PSQ200A.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",119,121,NA
