"VTD244B.Code.or.Value","VTD244B.Value.Description","VTD244B.Count","VTD244B.Cumulative","VTD244B.Skip.to.Item"
"1 to 48","Range of Values",528,528,NA
"77","Refused",0,528,NA
"99","Don't know",1,529,NA
".","Missing",2865,3394,NA
