"URDP01LC.Code.or.Value","URDP01LC.Value.Description","URDP01LC.Count","URDP01LC.Cumulative","URDP01LC.Skip.to.Item"
"0","At or above the detection limit",2593,2593,NA
"1","Below lower detection limit",2,2595,NA
".","Missing",102,2697,NA
