"BIXS582K.Code.or.Value","BIXS582K.Value.Description","BIXS582K.Count","BIXS582K.Cumulative","BIXS582K.Skip.to.Item"
"83.12 to 841.67","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
