"LBDGLUSI.Code.or.Value","LBDGLUSI.Value.Description","LBDGLUSI.Count","LBDGLUSI.Cumulative","LBDGLUSI.Skip.to.Item"
"1.998 to 20.816","Range of Values",3386,3386,NA
".","Missing",195,3581,NA
