"HSQ571.Code.or.Value","HSQ571.Value.Description","HSQ571.Count","HSQ571.Cumulative","HSQ571.Skip.to.Item"
"1","Yes",230,230,""
"2","No",5288,5518,"HSQ590"
"7","Refused",0,5518,"HSQ590"
"9","Don't know",7,5525,"HSQ590"
".","Missing",3640,9165,""
