"DXXTRBMC.Code.or.Value","DXXTRBMC.Value.Description","DXXTRBMC.Count","DXXTRBMC.Cumulative","DXXTRBMC.Skip.to.Item"
"2.52 to 33.78","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
