"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",91,91,""
"2","No",1936,2027,"DRD370V"
".","Missing",8450,10477,""
