"DR1IVD.Code.or.Value","DR1IVD.Value.Description","DR1IVD.Count","DR1IVD.Cumulative","DR1IVD.Skip.to.Item"
"0 to 70.2","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
