"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.03 to 12886.88","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
