"LBDWBFLC.Code.or.Value","LBDWBFLC.Value.Description","LBDWBFLC.Count","LBDWBFLC.Cumulative","LBDWBFLC.Skip.to.Item"
"0","Detectable Result",428,428,NA
"1","Below Detectable Limit",188,616,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",1,617,NA
".","Missing",234,851,NA
