"DR1TMAGN.Code.or.Value","DR1TMAGN.Value.Description","DR1TMAGN.Count","DR1TMAGN.Cumulative","DR1TMAGN.Skip.to.Item"
"3 to 1540","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
