"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1 to 3","Range of Values",111,111,NA
"7777","Refused",0,111,NA
"9999","Don't know",0,111,NA
".","Missing",6107,6218,NA
