"MCQ240cc.Code.or.Value","MCQ240cc.Value.Description","MCQ240cc.Count","MCQ240cc.Cumulative","MCQ240cc.Skip.to.Item"
"14 to 67","Range of Values",18,18,NA
"80","80 years or older",0,18,NA
"77777","Refused",0,18,NA
"99999","Don't know",0,18,NA
".","Missing",9752,9770,NA
