"SMD203.Code.or.Value","SMD203.Value.Description","SMD203.Count","SMD203.Cumulative","SMD203.Skip.to.Item"
"1 to 20","Range of Values",36,36,NA
"777","Refused",1,37,NA
"999","Don't know",0,37,NA
".","Missing",5374,5411,NA
