"LBXB12.Code.or.Value","LBXB12.Value.Description","LBXB12.Count","LBXB12.Cumulative","LBXB12.Skip.to.Item"
"50 to 70200","Range of Values",8049,8049,NA
".","Missing",1391,9440,NA
