"LBDDA1LC.Code.or.Value","LBDDA1LC.Value.Description","LBDDA1LC.Count","LBDDA1LC.Cumulative","LBDDA1LC.Skip.to.Item"
"0","At or above the detection limit",4378,4378,NA
"1","Below lower detection limit",0,4378,NA
".","Missing",1265,5643,NA
