"HCQ160.Code.or.Value","HCQ160.Value.Description","HCQ160.Count","HCQ160.Cumulative","HCQ160.Skip.to.Item"
"1","True",44,44,NA
"2","False",3,47,NA
"7","Refused",0,47,NA
"9","Don't know",10,57,NA
".","Missing",55,112,NA
