"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.085 to 180","Range of Values",7697,7697,NA
".","Missing",389,8086,NA
