"WTSPP2YR.Code.or.Value","WTSPP2YR.Value.Description","WTSPP2YR.Count","WTSPP2YR.Cumulative","WTSPP2YR.Skip.to.Item"
"3943.1855509 to 836356.28269","Range of Values",1998,1998,NA
"0","Non-Respondent",127,2125,NA
".","Missing",0,2125,NA
