"DSQTMFAT.Code.or.Value","DSQTMFAT.Value.Description","DSQTMFAT.Count","DSQTMFAT.Cumulative","DSQTMFAT.Skip.to.Item"
"0 to 6","Range of Values",134,134,NA
".","Missing",10015,10149,NA
