"SMQ666B.Code.or.Value","SMQ666B.Value.Description","SMQ666B.Count","SMQ666B.Cumulative","SMQ666B.Skip.to.Item"
"1","Regulars",1,1,NA
"2","Lights",3,4,NA
"3","Ultralights",0,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",7441,7445,NA
