"URXMBP.Code.or.Value","URXMBP.Value.Description","URXMBP.Count","URXMBP.Cumulative","URXMBP.Skip.to.Item"
"0.42 to 101013","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
