"ORXHPI.Code.or.Value","ORXHPI.Value.Description","ORXHPI.Count","ORXHPI.Cumulative","ORXHPI.Skip.to.Item"
"1","Positive",2,2,NA
"2","Negative",4845,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
