"OPDDPED.Code.or.Value","OPDDPED.Value.Description","OPDDPED.Count","OPDDPED.Cumulative","OPDDPED.Skip.to.Item"
"0","No",3109,3109,NA
"1","Yes",3,3112,NA
".","Missing",751,3863,NA
