"LBDV4CLC.Code.or.Value","LBDV4CLC.Value.Description","LBDV4CLC.Count","LBDV4CLC.Cumulative","LBDV4CLC.Skip.to.Item"
"0","detectable result",337,337,NA
"1","below detectable limit",2398,2735,NA
"2","detectable result and exceeds the calibrated range of assay",0,2735,NA
".","Missing",680,3415,NA
