"WBXA015.Code.or.Value","WBXA015.Value.Description","WBXA015.Count","WBXA015.Cumulative","WBXA015.Skip.to.Item"
"-11.6763 to 0.9981","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
