"DXDTOBMC.Code.or.Value","DXDTOBMC.Value.Description","DXDTOBMC.Count","DXDTOBMC.Cumulative","DXDTOBMC.Skip.to.Item"
"582.91 to 4356.01","Range of Values",4613,4613,NA
".","Missing",1167,5780,NA
