"DS2ICAFF.Code.or.Value","DS2ICAFF.Value.Description","DS2ICAFF.Count","DS2ICAFF.Cumulative","DS2ICAFF.Skip.to.Item"
"2 to 200","Range of Values",11,11,NA
".","Missing",5688,5699,NA
