"LBXTNA.Code.or.Value","LBXTNA.Value.Description","LBXTNA.Count","LBXTNA.Cumulative","LBXTNA.Skip.to.Item"
"0.02 to 9.946","Range of Values",2286,2286,NA
".","Missing",261,2547,NA
