"AUAFMANL.Code.or.Value","AUAFMANL.Value.Description","AUAFMANL.Count","AUAFMANL.Cumulative","AUAFMANL.Skip.to.Item"
"1","None",3817,3817,NA
"2","500 Hz",1,3818,NA
"3","1000 Hz",6,3824,NA
"4","2000 Hz",6,3830,NA
"5","3000 Hz",4,3834,NA
"6","4000 Hz",3,3837,NA
"7","6000 Hz",9,3846,NA
"8","8000 Hz",25,3871,NA
".","Missing",629,4500,NA
