"DRXIM221.Code.or.Value","DRXIM221.Value.Description","DRXIM221.Count","DRXIM221.Cumulative","DRXIM221.Skip.to.Item"
"0 to 5.07","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
